Condition,Date,Id,View,Waterfront,Yr Built,Zipcode,Bathrooms,Bedrooms,Floors,Grade,Lat,Long,Price,Sqft Living,Sqft Lot
Average,20141022T000000,629000615,No View,No,1962,98004,3.25,4,2,10,47.5862,-122.198,1495000,3070,10375
Very Good,20141126T000000,4141800215,No View,No,1916,98122,3.75,4,2.5,9,47.6157,-122.287,1495000,3770,4000
Good,20150129T000000,6448000020,No View,No,1967,98004,2.5,4,1,9,47.6214,-122.227,1490000,2420,18480
Average,20150331T000000,9522300010,Average,No,1990,98034,3.5,3,2,12,47.6995,-122.228,1490000,4560,14608
Average,20140911T000000,31000165,Average,No,1958,98040,3.5,5,2,10,47.5738,-122.215,1490000,3620,7821
Average,20140822T000000,8835770170,Good,No,2007,98045,6,5,2,12,47.4624,-121.779,1488000,6880,279968
Average,20140718T000000,4139500080,Good,No,1998,98006,4.25,4,2,12,47.5513,-122.109,1488000,5180,13077
Average,20140612T000000,3885805665,No View,No,2006,98033,3.75,4,2,10,47.6821,-122.196,1485000,4030,10800
Average,20141001T000000,3885805175,No View,No,2006,98033,3.25,4,2,10,47.6824,-122.199,1485000,3730,7200
Average,20150506T000000,8835401250,Good,No,1964,98118,2.75,6,2,10,47.5462,-122.265,1485000,4430,6440
Average,20141002T000000,7582700075,No View,No,2007,98105,3.5,4,2,10,47.6646,-122.28,1485000,3930,6120
Very Good,20140923T000000,5450900060,No View,No,1965,98040,2.5,5,2,10,47.5553,-122.22,1484900,4570,19252
Average,20150507T000000,4217401035,No View,No,1939,98105,2.25,3,2,9,47.6582,-122.28,1482500,3290,5000
Average,20140820T000000,8920100066,Good,No,2006,98075,3.5,4,2,11,47.592,-122.085,1481000,5220,15411
Average,20140728T000000,3892500070,No View,No,1991,98033,3.5,3,2,11,47.659,-122.174,1480000,4070,26000
Average,20140723T000000,5700003810,No View,No,1928,98144,2.25,4,2,10,47.5731,-122.284,1480000,3920,7200
Average,20140711T000000,5167000140,No View,No,1998,98033,3.25,3,2,11,47.6653,-122.205,1480000,3700,2264
Average,20140721T000000,2911700020,Average,No,1953,98006,2.25,3,2,9,47.574,-122.18,1476000,4470,22518
Average,20150114T000000,4139910180,No View,No,1990,98006,4,5,2,12,47.5468,-122.123,1475000,4770,31570
Good,20141210T000000,4217401365,No View,No,1927,98105,3.25,5,1.5,10,47.6548,-122.28,1475000,3680,10300
Very Good,20150218T000000,1118001360,No View,No,1949,98112,2.75,3,1,9,47.6324,-122.289,1475000,3910,7080
Good,20140827T000000,5317100530,No View,No,1926,98112,3,4,2,9,47.6253,-122.284,1475000,3050,6179
Average,20150421T000000,6762700515,No View,No,1984,98102,2.5,3,2,11,47.6295,-122.32,1475000,2570,5000
Average,20141120T000000,6645900010,No View,No,2003,98004,2.5,4,1,9,47.6367,-122.206,1470000,3030,10189
Average,20140519T000000,4139900050,No View,No,1988,98006,3.25,4,2,12,47.5469,-122.127,1468000,5010,34460
